question_id,module_id,topic_id,concept_tag,question_family,question_text,n_options,answer_option_issue_count,answer_option_issues,duplicate_option_text,correct_choice_id_not_in_options,z_score_outside_module_5_or_review,placeholder_or_internal_wording,visual_required,visual_template_id,reviewed_status
module_1_categorical_vs_quantitative_001,module_1,data_graphs,variable_classification,categorical_vs_quantitative,A data set records each student's jersey number. Which type of variable is this?,4,0,,False,False,False,False,False,,audited
module_1_categorical_vs_quantitative_002,module_1,data_graphs,variable_classification,categorical_vs_quantitative,A data set records each student's college major. Which type of variable is this?,4,0,,False,False,False,False,False,,audited
module_1_categorical_vs_quantitative_003,module_1,data_graphs,variable_classification,categorical_vs_quantitative,A data set records each student's number of siblings. Which type of variable is this?,4,0,,False,False,False,False,False,,audited
module_1_categorical_vs_quantitative_004,module_1,data_graphs,variable_classification,categorical_vs_quantitative,A data set records each student's height in centimeters. Which type of variable is this?,4,0,,False,False,False,False,False,,audited
module_1_categorical_vs_quantitative_005,module_1,data_graphs,variable_classification,categorical_vs_quantitative,A data set records each student's ZIP code. Which type of variable is this?,4,0,,False,False,False,False,False,,audited
module_1_categorical_vs_quantitative_006,module_1,data_graphs,variable_classification,categorical_vs_quantitative,A data set records each student's commute time in minutes. Which type of variable is this?,4,0,,False,False,False,False,False,,audited
module_1_graph_choice_001,module_1,data_graphs,graph_selection,graph_choice,Which graph is most appropriate for displaying favorite coffee drink?,5,0,,False,False,False,False,False,,audited
module_1_graph_choice_002,module_1,data_graphs,graph_selection,graph_choice,Which graph is most appropriate for displaying exam scores for 80 students?,5,0,,False,False,False,False,False,,audited
module_1_graph_choice_003,module_1,data_graphs,graph_selection,graph_choice,Which graph is most appropriate for displaying daily high temperature over a month?,5,0,,False,False,False,False,False,,audited
module_1_graph_choice_004,module_1,data_graphs,graph_selection,graph_choice,Which graph is most appropriate for displaying relationship between study hours and exam score?,5,0,,False,False,False,False,False,,audited
module_1_graph_choice_005,module_1,data_graphs,graph_selection,graph_choice,Which graph is most appropriate for displaying blood type counts?,5,0,,False,False,False,False,False,,audited
module_1_graph_choice_006,module_1,data_graphs,graph_selection,graph_choice,Which graph is most appropriate for displaying household incomes?,5,0,,False,False,False,False,False,,audited
module_1_graph_choice_visual_001,module_1,data_graphs,graph_selection,graph_choice_visual,Use the visual aid. Which display is designed for category labels with separated bars?,5,0,,False,False,False,False,True,bar_chart_categorical,audited
module_1_graph_choice_visual_002,module_1,data_graphs,graph_selection,graph_choice_visual,Use the visual aid. Which display shows a quantitative distribution using adjacent bins?,5,0,,False,False,False,False,True,histogram_quantitative,audited
module_1_shape_center_spread_001,module_1,data_graphs,distribution_shape_description,shape_center_spread,A histogram has a long tail stretching toward larger values. Which description best fits its shape?,4,0,,False,False,False,False,False,,audited
module_1_shape_center_spread_002,module_1,data_graphs,distribution_shape_description,shape_center_spread,A histogram has a long tail stretching toward smaller values. Which description best fits its shape?,4,0,,False,False,False,False,False,,audited
module_1_shape_center_spread_003,module_1,data_graphs,distribution_shape_description,shape_center_spread,A histogram has left and right sides that are approximately mirror images. Which description best fits its shape?,4,0,,False,False,False,False,False,,audited
module_1_shape_center_spread_004,module_1,data_graphs,distribution_shape_description,shape_center_spread,A histogram has two clear peaks. Which description best fits its shape?,4,0,,False,False,False,False,False,,audited
module_1_summary_measure_selection_001,module_1,descriptive_stats,descriptive_summaries,summary_measure_selection,Which numerical summary is resistant to extreme outliers?,4,0,,False,False,False,False,False,,audited
module_1_summary_measure_selection_002,module_1,descriptive_stats,descriptive_summaries,summary_measure_selection,Which measure of center uses every data value and is pulled by outliers?,4,0,,False,False,False,False,False,,audited
module_1_summary_measure_selection_003,module_1,descriptive_stats,descriptive_summaries,summary_measure_selection,Which measure summarizes the spread of the middle 50% of the data?,4,0,,False,False,False,False,False,,audited
module_1_summary_measure_selection_004,module_1,descriptive_stats,descriptive_summaries,summary_measure_selection,"Which summary includes minimum, Q1, median, Q3, and maximum?",4,0,,False,False,False,False,False,,audited
module_1_summary_measure_selection_005,module_1,descriptive_stats,descriptive_summaries,summary_measure_selection,Which measure of spread is paired naturally with the mean for roughly symmetric data?,4,0,,False,False,False,False,False,,audited
