chunk_id,source_name,source_type,source_scope,source_priority,professor_id,chapter,section,module_id,topic_id,concept_tag,content_type,page_number,slide_number,parent_id,text,normalized_text,aliases_added,image_refs,display_permission_status
demo_data_graphs_variable_type,public_demo_corpus,concept_page,universal_core,20,,NA,demo,data_graphs,data_graphs,variable_classification,concept_explanation,NA,NA,demo_data_graphs,"A categorical variable places cases into groups or labels. A quantitative variable records numerical measurements where arithmetic such as averaging is meaningful. Bar charts are commonly used for categorical variables, while histograms are commonly used for quantitative variables.",,,,created_by_us
demo_descriptive_resistant,public_demo_corpus,concept_page,universal_core,20,,NA,demo,descriptive_stats,measures_of_center,resistant_measures,concept_explanation,NA,NA,demo_descriptive,"A resistant measure is not strongly affected by extreme values. The median is resistant because it depends on the middle position after sorting the data. The mean is not resistant because very large or very small observations pull it toward the tail of a skewed distribution.",,,,created_by_us
demo_normal_zscore,public_demo_corpus,concept_page,universal_core,20,,NA,demo,normal_distribution,z_scores,z_score,concept_explanation,NA,NA,demo_normal,"A z-score tells how many standard deviations an observation is above or below the mean. In a normal distribution, z-scores can be used with the standard normal curve to find approximate probabilities and percentiles.",,,,created_by_us
demo_regression_residual,public_demo_corpus,concept_page,universal_core,20,,NA,demo,regression,least_squares,residuals,concept_explanation,NA,NA,demo_regression,"A regression line summarizes a linear relationship between an explanatory variable and a response variable. A residual is observed value minus predicted value. Residual plots help check whether a straight-line model is reasonable.",,,,created_by_us
demo_sampling_bias,public_demo_corpus,concept_page,universal_core,20,,NA,demo,sampling,sampling_design,sampling_bias,concept_explanation,NA,NA,demo_sampling,"A sample is biased when the sampling method systematically favors some outcomes over others. Random sampling helps reduce selection bias because each member of the population has a known chance to be selected.",,,,created_by_us
demo_experiments_random_assignment,public_demo_corpus,concept_page,universal_core,20,,NA,demo,experiments,experimental_design,random_assignment,concept_explanation,NA,NA,demo_experiments,"In an experiment, random assignment assigns subjects to treatments by chance. Random assignment helps balance lurking variables across treatment groups, which supports cause-and-effect conclusions when the study is well designed.",,,,created_by_us
demo_probability_independence,public_demo_corpus,concept_page,universal_core,20,,NA,demo,probability,probability_basics,independence,concept_explanation,NA,NA,demo_probability,"Two events are independent when knowing that one event occurred does not change the probability of the other event. If events are independent, the probability of both events occurring is the product of their probabilities.",,,,created_by_us
demo_sampling_distribution_clt,public_demo_corpus,concept_page,universal_core,20,,NA,demo,sampling_distributions,clt,central_limit_theorem,concept_explanation,NA,NA,demo_sampling_dist,"A sampling distribution describes how a statistic varies from sample to sample. The central limit theorem says that the sampling distribution of the sample mean becomes approximately normal for large enough samples under broad conditions.",,,,created_by_us
demo_binomial_conditions,public_demo_corpus,concept_page,universal_core,20,,NA,demo,binomial_distribution,binomial_conditions,binomial_distribution,concept_explanation,NA,NA,demo_binomial,"A binomial setting has a fixed number of trials, two possible outcomes on each trial, the same probability of success on each trial, and independent trials. The count of successes is the binomial random variable.",,,,created_by_us
demo_confidence_interval_moe,public_demo_corpus,concept_page,universal_core,20,,NA,demo,confidence_intervals,confidence_intervals,margin_of_error,concept_explanation,NA,NA,demo_ci,"A confidence interval estimates an unknown population parameter using a statistic plus or minus a margin of error. A larger sample size usually reduces the margin of error when other conditions stay the same.",,,,created_by_us
demo_hypothesis_pvalue,public_demo_corpus,concept_page,universal_core,20,,NA,demo,hypothesis_testing,hypothesis_testing,p_value,concept_explanation,NA,NA,demo_ht,"A p-value is the probability, assuming the null hypothesis is true, of getting a result at least as extreme as the observed result. Small p-values provide stronger evidence against the null hypothesis.",,,,created_by_us
demo_proportion_phat,public_demo_corpus,concept_page,universal_core,20,,NA,demo,hypothesis_testing,proportion_inference,p_hat,definition,NA,NA,demo_proportion,"The symbol p_hat represents the sample proportion. The symbol p_0 represents a hypothesized population proportion used in a one-proportion hypothesis test. The standard error describes typical sample-to-sample variation in a statistic.",,,,created_by_us
