question_id,module_id,module_label,topic_id,topic_label,concept_tag,difficulty,format,question_text,choices,correct_choice_id,correct_answer,accepted_answers,hint,explanation,source_basis,review_status,generated_by,question_family,answer_type,grading_rule,hint_1,hint_2,hint_3,concept_explanation,solution_explanation,misconception_notes,visual_id,visual_ids,visual_template_id,visual_params,visual_position,visual_required,tutor_visual_ids,generation_method,evidence_used,safe_for_demo,created_at,reviewed_status
module_1_categorical_vs_quantitative_001,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,variable_classification,foundational,multiple_choice,A data set records each student's jersey number. Which type of variable is this?,"[{""id"": ""a"", ""text"": ""Statistic""}, {""id"": ""b"", ""text"": ""Categorical""}, {""id"": ""c"", ""text"": ""Quantitative""}, {""id"": ""d"", ""text"": ""Parameter""}]",b,Categorical,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Categorical** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,categorical_vs_quantitative,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Categorical** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_categorical_vs_quantitative_002,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,variable_classification,foundational,multiple_choice,A data set records each student's college major. Which type of variable is this?,"[{""id"": ""a"", ""text"": ""Parameter""}, {""id"": ""b"", ""text"": ""Categorical""}, {""id"": ""c"", ""text"": ""Statistic""}, {""id"": ""d"", ""text"": ""Quantitative""}]",b,Categorical,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Categorical** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,categorical_vs_quantitative,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Categorical** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_categorical_vs_quantitative_003,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,variable_classification,foundational,multiple_choice,A data set records each student's number of siblings. Which type of variable is this?,"[{""id"": ""a"", ""text"": ""Quantitative""}, {""id"": ""b"", ""text"": ""Categorical""}, {""id"": ""c"", ""text"": ""Parameter""}, {""id"": ""d"", ""text"": ""Statistic""}]",a,Quantitative,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Quantitative** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,categorical_vs_quantitative,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Quantitative** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_categorical_vs_quantitative_004,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,variable_classification,foundational,multiple_choice,A data set records each student's height in centimeters. Which type of variable is this?,"[{""id"": ""a"", ""text"": ""Categorical""}, {""id"": ""b"", ""text"": ""Statistic""}, {""id"": ""c"", ""text"": ""Parameter""}, {""id"": ""d"", ""text"": ""Quantitative""}]",d,Quantitative,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Quantitative** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,categorical_vs_quantitative,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Quantitative** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_categorical_vs_quantitative_005,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,variable_classification,foundational,multiple_choice,A data set records each student's ZIP code. Which type of variable is this?,"[{""id"": ""a"", ""text"": ""Quantitative""}, {""id"": ""b"", ""text"": ""Categorical""}, {""id"": ""c"", ""text"": ""Statistic""}, {""id"": ""d"", ""text"": ""Parameter""}]",b,Categorical,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Categorical** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,categorical_vs_quantitative,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Categorical** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_categorical_vs_quantitative_006,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,variable_classification,foundational,multiple_choice,A data set records each student's commute time in minutes. Which type of variable is this?,"[{""id"": ""a"", ""text"": ""Parameter""}, {""id"": ""b"", ""text"": ""Statistic""}, {""id"": ""c"", ""text"": ""Quantitative""}, {""id"": ""d"", ""text"": ""Categorical""}]",c,Quantitative,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Quantitative** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,categorical_vs_quantitative,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful.","This question is testing whether the variable is categorical or quantitative. Categorical variables place individuals into groups or labels, while quantitative variables are numerical measurements where arithmetic such as averaging is meaningful. In this item, **Quantitative** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_graph_choice_001,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,graph_selection,core,multiple_choice,Which graph is most appropriate for displaying favorite coffee drink?,"[{""id"": ""a"", ""text"": ""Bar chart""}, {""id"": ""b"", ""text"": ""Pie chart""}, {""id"": ""c"", ""text"": ""Scatterplot""}, {""id"": ""d"", ""text"": ""Time plot""}, {""id"": ""e"", ""text"": ""Histogram""}]",a,Bar chart,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","A bar chart is the best match because the values are categories or group labels, and the goal is to compare counts or percents across groups. Histograms are for quantitative measurements grouped into intervals. In this item, **Bar chart** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,graph_choice,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"A bar chart is the best match because the values are categories or group labels, and the goal is to compare counts or percents across groups. Histograms are for quantitative measurements grouped into intervals.","A bar chart is the best match because the values are categories or group labels, and the goal is to compare counts or percents across groups. Histograms are for quantitative measurements grouped into intervals. In this item, **Bar chart** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_graph_choice_002,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,graph_selection,core,multiple_choice,Which graph is most appropriate for displaying exam scores for 80 students?,"[{""id"": ""a"", ""text"": ""Scatterplot""}, {""id"": ""b"", ""text"": ""Bar chart""}, {""id"": ""c"", ""text"": ""Pie chart""}, {""id"": ""d"", ""text"": ""Time plot""}, {""id"": ""e"", ""text"": ""Histogram""}]",e,Histogram,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","A histogram is the best match because the variable is quantitative and the goal is to display the distribution of one variable. Bar charts are for category counts, scatterplots compare two quantitative variables, and time plots require measurements over time. In this item, **Histogram** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,graph_choice,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"A histogram is the best match because the variable is quantitative and the goal is to display the distribution of one variable. Bar charts are for category counts, scatterplots compare two quantitative variables, and time plots require measurements over time.","A histogram is the best match because the variable is quantitative and the goal is to display the distribution of one variable. Bar charts are for category counts, scatterplots compare two quantitative variables, and time plots require measurements over time. In this item, **Histogram** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_graph_choice_003,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,graph_selection,core,multiple_choice,Which graph is most appropriate for displaying daily high temperature over a month?,"[{""id"": ""a"", ""text"": ""Scatterplot""}, {""id"": ""b"", ""text"": ""Pie chart""}, {""id"": ""c"", ""text"": ""Time plot""}, {""id"": ""d"", ""text"": ""Histogram""}, {""id"": ""e"", ""text"": ""Bar chart""}]",c,Time plot,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","A time plot is the best match because observations are recorded over time. Putting time on the horizontal axis helps reveal trends, cycles, or unusual changes. In this item, **Time plot** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,graph_choice,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,"A time plot is the best match because observations are recorded over time. Putting time on the horizontal axis helps reveal trends, cycles, or unusual changes.","A time plot is the best match because observations are recorded over time. Putting time on the horizontal axis helps reveal trends, cycles, or unusual changes. In this item, **Time plot** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
module_1_graph_choice_004,module_1,"Module 1: Data Types, Graphs, and Descriptive Statistics",data_graphs,Data Types and Graphs,graph_selection,core,multiple_choice,Which graph is most appropriate for displaying relationship between study hours and exam score?,"[{""id"": ""a"", ""text"": ""Scatterplot""}, {""id"": ""b"", ""text"": ""Bar chart""}, {""id"": ""c"", ""text"": ""Time plot""}, {""id"": ""d"", ""text"": ""Histogram""}, {""id"": ""e"", ""text"": ""Pie chart""}]",a,Scatterplot,,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","A scatterplot is the best match because the goal is to study the relationship between two quantitative variables. Each point represents one individual measured on both variables. In this item, **Scatterplot** is the best choice because it matches what the question is asking you to identify.","BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",audited,chatgpt_template_audit,graph_choice,multiple_choice,exact_choice,"Focus on the phrase in the question that names the statistical idea, not on the answer choices first.","Ask what object is being described: a variable, a distribution, a sample, a population parameter, or an inference method.",,A scatterplot is the best match because the goal is to study the relationship between two quantitative variables. Each point represents one individual measured on both variables.,"A scatterplot is the best match because the goal is to study the relationship between two quantitative variables. Each point represents one individual measured on both variables. In this item, **Scatterplot** is the best choice because it matches what the question is asking you to identify.","Common mistakes include matching on a familiar word instead of checking the variable type, study design, distribution, or inference goal in context.",,,,{},above,False,,audited_template_expansion,"BPS6 Ch. 1: individuals, variables, distributions, bar graphs, histograms, stemplots, time plots",True,2026-05-09,audited
