question_id,module_id,topic_id,concept_tag,n_options,correct_choice_id,correct_option_text,duplicate_option_text,duplicate_option_id,correct_choice_id_not_in_options,correct_answer_text_not_in_options,issue_count,issues,option_texts
module_1_categorical_vs_quantitative_001,module_1,data_graphs,variable_classification,4,b,Categorical,FALSE,FALSE,FALSE,FALSE,0,,Statistic | Categorical | Quantitative | Parameter
module_1_categorical_vs_quantitative_002,module_1,data_graphs,variable_classification,4,b,Categorical,FALSE,FALSE,FALSE,FALSE,0,,Parameter | Categorical | Statistic | Quantitative
module_1_categorical_vs_quantitative_003,module_1,data_graphs,variable_classification,4,a,Quantitative,FALSE,FALSE,FALSE,FALSE,0,,Quantitative | Categorical | Parameter | Statistic
module_1_categorical_vs_quantitative_004,module_1,data_graphs,variable_classification,4,d,Quantitative,FALSE,FALSE,FALSE,FALSE,0,,Categorical | Statistic | Parameter | Quantitative
module_1_categorical_vs_quantitative_005,module_1,data_graphs,variable_classification,4,b,Categorical,FALSE,FALSE,FALSE,FALSE,0,,Quantitative | Categorical | Statistic | Parameter
module_1_categorical_vs_quantitative_006,module_1,data_graphs,variable_classification,4,c,Quantitative,FALSE,FALSE,FALSE,FALSE,0,,Parameter | Statistic | Quantitative | Categorical
module_1_graph_choice_001,module_1,data_graphs,graph_selection,5,a,Bar chart,FALSE,FALSE,FALSE,FALSE,0,,Bar chart | Pie chart | Scatterplot | Time plot | Histogram
module_1_graph_choice_002,module_1,data_graphs,graph_selection,5,e,Histogram,FALSE,FALSE,FALSE,FALSE,0,,Scatterplot | Bar chart | Pie chart | Time plot | Histogram
module_1_graph_choice_003,module_1,data_graphs,graph_selection,5,c,Time plot,FALSE,FALSE,FALSE,FALSE,0,,Scatterplot | Pie chart | Time plot | Histogram | Bar chart
module_1_graph_choice_004,module_1,data_graphs,graph_selection,5,a,Scatterplot,FALSE,FALSE,FALSE,FALSE,0,,Scatterplot | Bar chart | Time plot | Histogram | Pie chart
module_1_graph_choice_005,module_1,data_graphs,graph_selection,5,b,Bar chart,FALSE,FALSE,FALSE,FALSE,0,,Histogram | Bar chart | Scatterplot | Time plot | Pie chart
module_1_graph_choice_006,module_1,data_graphs,graph_selection,5,b,Histogram,FALSE,FALSE,FALSE,FALSE,0,,Bar chart | Histogram | Time plot | Pie chart | Scatterplot
module_1_graph_choice_visual_001,module_1,data_graphs,graph_selection,5,a,Bar chart,FALSE,FALSE,FALSE,FALSE,0,,Bar chart | Stemplot | Histogram | Scatterplot | Pie chart
module_1_graph_choice_visual_002,module_1,data_graphs,graph_selection,5,c,Histogram,FALSE,FALSE,FALSE,FALSE,0,,Bar chart | Pie chart | Histogram | Two-way table | Scatterplot
module_1_shape_center_spread_001,module_1,data_graphs,distribution_shape_description,4,b,skewed right,FALSE,FALSE,FALSE,FALSE,0,,roughly symmetric | skewed right | bimodal | skewed left
module_1_shape_center_spread_002,module_1,data_graphs,distribution_shape_description,4,a,skewed left,FALSE,FALSE,FALSE,FALSE,0,,skewed left | skewed right | roughly symmetric | bimodal
module_1_shape_center_spread_003,module_1,data_graphs,distribution_shape_description,4,a,roughly symmetric,FALSE,FALSE,FALSE,FALSE,0,,roughly symmetric | skewed left | skewed right | bimodal
module_1_shape_center_spread_004,module_1,data_graphs,distribution_shape_description,4,a,bimodal,FALSE,FALSE,FALSE,FALSE,0,,bimodal | roughly symmetric | skewed right | skewed left
module_1_summary_measure_selection_001,module_1,descriptive_stats,descriptive_summaries,4,d,Median,FALSE,FALSE,FALSE,FALSE,0,,Interquartile range | Mean | Standard deviation | Median
module_1_summary_measure_selection_002,module_1,descriptive_stats,descriptive_summaries,4,c,Mean,FALSE,FALSE,FALSE,FALSE,0,,Standard deviation | Median | Mean | Interquartile range
module_1_summary_measure_selection_003,module_1,descriptive_stats,descriptive_summaries,4,d,Interquartile range,FALSE,FALSE,FALSE,FALSE,0,,Five-number summary | Mean | Median | Interquartile range
module_1_summary_measure_selection_004,module_1,descriptive_stats,descriptive_summaries,4,c,Five-number summary,FALSE,FALSE,FALSE,FALSE,0,,Standard deviation | Median | Five-number summary | Mean
module_1_summary_measure_selection_005,module_1,descriptive_stats,descriptive_summaries,4,b,Standard deviation,FALSE,FALSE,FALSE,FALSE,0,,Interquartile range | Standard deviation | Five-number summary | Median
module_1_mean_median_skew_visual_001,module_1,descriptive_stats,resistant_measures,4,a,Median,FALSE,FALSE,FALSE,FALSE,0,,Median | Mean | Standard deviation | Range
module_1_boxplot_visual_001,module_1,descriptive_stats,outliers_boxplots,4,d,Outliers,FALSE,FALSE,FALSE,FALSE,0,,Mean | Class width | Median | Outliers
module_2_scatterplot_direction_001,module_2,relationships_regression,association_direction,4,d,Positive association,FALSE,FALSE,FALSE,FALSE,0,,Little or no association | Perfect causation | Negative association | Positive association
module_2_scatterplot_direction_002,module_2,relationships_regression,association_direction,4,a,Negative association,FALSE,FALSE,FALSE,FALSE,0,,Negative association | Little or no association | Positive association | Perfect causation
module_2_scatterplot_direction_003,module_2,relationships_regression,association_direction,4,a,Little or no association,FALSE,FALSE,FALSE,FALSE,0,,Little or no association | Perfect causation | Positive association | Negative association
module_2_scatterplot_direction_004,module_2,relationships_regression,association_direction,4,a,Negative association,FALSE,FALSE,FALSE,FALSE,0,,Negative association | Positive association | Little or no association | Perfect causation
module_2_scatterplot_direction_005,module_2,relationships_regression,association_direction,4,b,Positive association,FALSE,FALSE,FALSE,FALSE,0,,Perfect causation | Positive association | Little or no association | Negative association
module_2_scatterplot_visual_001,module_2,relationships_regression,correlation_interpretation,4,b,A positive association,FALSE,FALSE,FALSE,FALSE,0,,A categorical variable | A positive association | No association | A negative association
module_2_correlation_properties_001,module_2,relationships_regression,correlation_facts,4,a,r = -0.95,FALSE,FALSE,FALSE,FALSE,0,,r = -0.95 | It changes units | r = 0.20 | It must be positive
module_2_correlation_properties_002,module_2,relationships_regression,correlation_facts,4,c,Correlation has no units,FALSE,FALSE,FALSE,FALSE,0,,r = 0.20 | It changes units | Correlation has no units | It must be positive
module_2_correlation_properties_003,module_2,relationships_regression,correlation_facts,4,c,It does not change,FALSE,FALSE,FALSE,FALSE,0,,r = 0.20 | It must be positive | It does not change | It proves causation
module_2_correlation_properties_004,module_2,relationships_regression,correlation_facts,4,c,Association does not prove causation,FALSE,FALSE,FALSE,FALSE,0,,It proves causation | r = 0.20 | Association does not prove causation | It must be positive
module_2_regression_basics_001,module_2,relationships_regression,regression_interpretation,4,b,The predicted change in y for a one-unit increase in x,FALSE,FALSE,FALSE,FALSE,0,,The correlation squared | The predicted change in y for a one-unit increase in x | The average of x | The sample size
module_2_regression_basics_002,module_2,relationships_regression,regression_interpretation,4,c,Observed value minus predicted value,FALSE,FALSE,FALSE,FALSE,0,,The sample size | The correlation squared | Observed value minus predicted value | A proof of causation
module_2_regression_basics_003,module_2,relationships_regression,regression_interpretation,4,b,A point far from the rest in the x-direction,FALSE,FALSE,FALSE,FALSE,0,,The average of x | A point far from the rest in the x-direction | A proof of causation | The correlation squared
module_2_regression_basics_004,module_2,relationships_regression,regression_interpretation,4,c,Using a regression line outside the range of observed x-values,FALSE,FALSE,FALSE,FALSE,0,,The correlation squared | A proof of causation | Using a regression line outside the range of observed x-values | The sample size
module_2_residual_visual_001,module_2,relationships_regression,residuals,4,b,Residual,FALSE,FALSE,FALSE,FALSE,0,,Slope | Residual | Intercept | Correlation
module_3_sampling_bias_001,module_3,producing_data,sampling_design,4,b,Voluntary response bias,FALSE,FALSE,FALSE,FALSE,0,,Convenience sampling bias | Voluntary response bias | Wording bias | Simple random sample
module_3_sampling_bias_002,module_3,producing_data,sampling_design,4,a,Convenience sampling bias,FALSE,FALSE,FALSE,FALSE,0,,Convenience sampling bias | Simple random sample | Wording bias | Voluntary response bias
module_3_sampling_bias_003,module_3,producing_data,sampling_design,4,a,Simple random sample,FALSE,FALSE,FALSE,FALSE,0,,Simple random sample | Convenience sampling bias | Wording bias | Voluntary response bias
module_3_sampling_bias_004,module_3,producing_data,sampling_design,4,b,Wording bias,FALSE,FALSE,FALSE,FALSE,0,,Convenience sampling bias | Wording bias | Voluntary response bias | Simple random sample
module_3_study_design_type_001,module_3,producing_data,observational_vs_experiment,4,a,Experiment,FALSE,FALSE,FALSE,FALSE,0,,Experiment | Simulation | Census | Observational study
module_3_study_design_type_002,module_3,producing_data,observational_vs_experiment,4,b,Observational study,FALSE,FALSE,FALSE,FALSE,0,,Experiment | Observational study | Census | Simulation
module_3_study_design_type_003,module_3,producing_data,observational_vs_experiment,4,c,Observational study,FALSE,FALSE,FALSE,FALSE,0,,Census | Simulation | Observational study | Experiment
module_3_experiment_visual_001,module_3,producing_data,experimental_design,4,a,To create comparable groups before treatments are applied,FALSE,FALSE,FALSE,FALSE,0,,To create comparable groups before treatments are applied | To choose the population | To guarantee a larger sample | To remove all variation
module_3_experiment_terms_001,module_3,producing_data,experimental_design,4,d,To provide a comparison for the treatment group,FALSE,FALSE,FALSE,FALSE,0,,To replace random assignment | To make the sample voluntary | To prove every individual responds the same way | To provide a comparison for the treatment group
module_3_experiment_terms_002,module_3,producing_data,experimental_design,4,c,To separate treatment effects from expectations or response to being treated,FALSE,FALSE,FALSE,FALSE,0,,To make the sample voluntary | To increase bias | To separate treatment effects from expectations or response to being treated | To replace random assignment
module_3_experiment_terms_003,module_3,producing_data,experimental_design,4,a,Neither the subjects nor the people measuring outcomes know which treatment was assigned,FALSE,FALSE,FALSE,FALSE,0,,Neither the subjects nor the people measuring outcomes know which treatment was assigned | To make the sample voluntary | To prove every individual responds the same way | To replace random assignment
module_3_experiment_terms_004,module_3,producing_data,experimental_design,4,c,Grouping similar subjects before random assignment within each group,FALSE,FALSE,FALSE,FALSE,0,,To increase bias | To prove every individual responds the same way | Grouping similar subjects before random assignment within each group | To make the sample voluntary
module_4_basic_probability_rules_001,module_4,probability_basics,probability_rules,4,c,0.70,FALSE,FALSE,FALSE,FALSE,0,,It does not change P(B) | It proves B cannot happen | 0.70 | 0.30
module_4_basic_probability_rules_002,module_4,probability_basics,probability_rules,4,b,0,FALSE,FALSE,FALSE,FALSE,0,,0.50 | 0 | It proves B cannot happen | 1.20
module_4_basic_probability_rules_003,module_4,probability_basics,probability_rules,4,d,1.20,FALSE,FALSE,FALSE,FALSE,0,,0.30 | It proves B cannot happen | 0.50 | 1.20
module_4_basic_probability_rules_004,module_4,probability_basics,probability_rules,4,d,It does not change P(B),FALSE,FALSE,FALSE,FALSE,0,,1.20 | It proves B cannot happen | 0.50 | It does not change P(B)
module_4_probability_vocabulary_001,module_4,probability_basics,probability_models,4,b,Random variable,FALSE,FALSE,FALSE,FALSE,0,,Sample space | Random variable | Event | Parameter
module_4_probability_vocabulary_002,module_4,probability_basics,probability_models,4,d,Event,FALSE,FALSE,FALSE,FALSE,0,,Sample space | Parameter | Random variable | Event
module_4_probability_vocabulary_003,module_4,probability_basics,probability_models,4,b,Sample space,FALSE,FALSE,FALSE,FALSE,0,,Random variable | Sample space | Parameter | Event
module_4_conditional_probability_001,module_4,probability_basics,conditional_independence,4,a,The probability a person has the disease given a positive test,FALSE,FALSE,FALSE,FALSE,0,,The probability a person has the disease given a positive test | A bar chart count | The total sample size | The mean of a histogram
module_4_conditional_probability_002,module_4,probability_basics,conditional_independence,4,c,One event occurring does not change the probability of the other,FALSE,FALSE,FALSE,FALSE,0,,A bar chart count | The total sample size | One event occurring does not change the probability of the other | The mean of a histogram
module_4_conditional_probability_003,module_4,probability_basics,conditional_independence,4,b,Use the complement: 1 minus probability of none,FALSE,FALSE,FALSE,FALSE,0,,The mean of a histogram | Use the complement: 1 minus probability of none | The total sample size | A bar chart count
module_5_z_scores_001,module_5,normal_dist,z_score_interpretation,4,a,z = 2,FALSE,FALSE,FALSE,FALSE,0,,z = 2 | z = 0 | z = -1 | z = 1
module_5_z_scores_002,module_5,normal_dist,z_score_interpretation,4,c,z = -2,FALSE,FALSE,FALSE,FALSE,0,,z = -1 | z = 0 | z = -2 | z = 1
module_5_z_scores_003,module_5,normal_dist,z_score_interpretation,4,c,z = 1,FALSE,FALSE,FALSE,FALSE,0,,z = 0 | z = -1 | z = 1 | z = -2
module_5_z_scores_004,module_5,normal_dist,z_score_interpretation,4,b,z = -0.5,FALSE,FALSE,FALSE,FALSE,0,,z = -1 | z = -0.5 | z = 1 | z = 0
module_5_z_score_position_001,module_5,normal_dist,z_score_interpretation,4,b,A measure of position,FALSE,FALSE,FALSE,FALSE,0,,A measure of spread | A measure of position | A graph for categorical data | A measure of center
module_5_normal_curve_visual_001,module_5,normal_dist,normal_probability,4,a,0,FALSE,FALSE,FALSE,FALSE,0,,0 | The sample size | 1 | The p-value
module_5_normal_distribution_basics_001,module_5,normal_dist,empirical_rule_density,4,b,68%,FALSE,FALSE,FALSE,FALSE,0,,Mean and standard deviation | 68% | 50% | 99.7%
module_5_normal_distribution_basics_002,module_5,normal_dist,empirical_rule_density,4,a,95%,FALSE,FALSE,FALSE,FALSE,0,,95% | 99.7% | Mean and standard deviation | 50%
module_5_normal_distribution_basics_003,module_5,normal_dist,empirical_rule_density,4,c,1,FALSE,FALSE,FALSE,FALSE,0,,Mean and standard deviation | 99.7% | 1 | 68%
module_5_normal_distribution_basics_004,module_5,normal_dist,empirical_rule_density,4,c,Mean and standard deviation,FALSE,FALSE,FALSE,FALSE,0,,68% | 1 | Mean and standard deviation | 95%
module_5_binomial_terms_001,module_5,binomial_dist,binomial_setting,4,c,Binomial setting,FALSE,FALSE,FALSE,FALSE,0,,Sampling distribution | Normal distribution | Binomial setting | Confidence interval
module_5_binomial_terms_002,module_5,binomial_dist,binomial_setting,4,c,Binomial random variable,FALSE,FALSE,FALSE,FALSE,0,,Sampling distribution | Confidence interval | Binomial random variable | Normal distribution
module_5_binomial_terms_003,module_5,binomial_dist,binomial_setting,4,c,Binomial probability,FALSE,FALSE,FALSE,FALSE,0,,Confidence interval | Sampling distribution | Binomial probability | Normal distribution
module_5_binomial_visual_001,module_5,binomial_dist,binomial_distribution,4,c,The probability of a possible count of successes,FALSE,FALSE,FALSE,FALSE,0,,A confidence interval endpoint | The slope of a line | The probability of a possible count of successes | A category label only
module_6_parameter_vs_statistic_001,module_6,sampling_dist,parameter_statistic,4,c,Statistic,FALSE,FALSE,FALSE,FALSE,0,,Parameter | Null value | Statistic | Outlier
module_6_parameter_vs_statistic_002,module_6,sampling_dist,parameter_statistic,4,a,Parameter,FALSE,FALSE,FALSE,FALSE,0,,Parameter | Null value | Statistic | Outlier
module_6_parameter_vs_statistic_003,module_6,sampling_dist,parameter_statistic,4,a,Statistic,FALSE,FALSE,FALSE,FALSE,0,,Statistic | Parameter | Null value | Outlier
module_6_parameter_vs_statistic_004,module_6,sampling_dist,parameter_statistic,4,b,Null value,FALSE,FALSE,FALSE,FALSE,0,,Statistic | Null value | Outlier | Parameter
module_6_sampling_distribution_concepts_001,module_6,sampling_dist,sampling_distribution,4,d,The distribution of a statistic over many random samples,FALSE,FALSE,FALSE,FALSE,0,,The exact value of every future sample | The shape of a bar chart | The raw data values in one sample | The distribution of a statistic over many random samples
module_6_sampling_distribution_concepts_002,module_6,sampling_dist,sampling_distribution,4,b,It gets smaller,FALSE,FALSE,FALSE,FALSE,0,,The exact value of every future sample | It gets smaller | The shape of a bar chart | The raw data values in one sample
module_6_sampling_distribution_concepts_003,module_6,sampling_dist,sampling_distribution,4,c,It tends to get closer to the population mean,FALSE,FALSE,FALSE,FALSE,0,,The exact value of every future sample | The raw data values in one sample | It tends to get closer to the population mean | The shape of a bar chart
module_6_sampling_distribution_concepts_004,module_6,sampling_dist,sampling_distribution,4,c,The sampling distribution of the sample mean is approximately Normal under broad conditions,FALSE,FALSE,FALSE,FALSE,0,,The exact value of every future sample | The raw data values in one sample | The sampling distribution of the sample mean is approximately Normal under broad conditions | The shape of a bar chart
module_6_sampling_distribution_visual_001,module_6,sampling_dist,standard_error_sample_size,4,c,Its spread decreases,FALSE,FALSE,FALSE,FALSE,0,,It becomes categorical | It stops varying | Its spread decreases | Its center becomes zero
module_7_confidence_interval_basics_001,module_7,ci_prop,ci_interpretation,4,c,The sample proportion,FALSE,FALSE,FALSE,FALSE,0,,Using a smaller sample size | The population parameter is definitely inside this one interval | The sample proportion | The sample mean must equal the parameter
module_7_confidence_interval_basics_002,module_7,ci_prop,ci_interpretation,4,c,How far the interval extends on each side of the estimate,FALSE,FALSE,FALSE,FALSE,0,,The sample mean must equal the parameter | Using a smaller sample size | How far the interval extends on each side of the estimate | The population parameter is definitely inside this one interval
module_7_confidence_interval_basics_003,module_7,ci_prop,ci_interpretation,4,d,A method that captures the true parameter in about 95% of repeated samples,FALSE,FALSE,FALSE,FALSE,0,,Using a smaller sample size | The population parameter is definitely inside this one interval | The sample mean must equal the parameter | A method that captures the true parameter in about 95% of repeated samples
module_7_confidence_interval_basics_004,module_7,ci_prop,ci_interpretation,4,d,Using a larger sample size,FALSE,FALSE,FALSE,FALSE,0,,The sample mean must equal the parameter | The population parameter is definitely inside this one interval | Using a smaller sample size | Using a larger sample size
module_7_confidence_interval_basics_005,module_7,ci_prop,ci_interpretation,4,c,Using a higher confidence level,FALSE,FALSE,FALSE,FALSE,0,,The sample mean must equal the parameter | Using a smaller sample size | Using a higher confidence level | The population parameter is definitely inside this one interval
module_7_ci_visual_001,module_7,ci_mean,margin_of_error,4,c,Margin of error,FALSE,FALSE,FALSE,FALSE,0,,P-value | Sample size | Margin of error | Standard Normal table
module_7_ci_conditions_001,module_7,ci_mean,conditions_for_intervals,4,d,t distribution,FALSE,FALSE,FALSE,FALSE,0,,The p-value must be below alpha | Correlation must be positive | Bar chart categories only | t distribution
module_7_ci_conditions_002,module_7,ci_mean,conditions_for_intervals,4,c,Data come from an SRS or randomized design and the distribution is reasonably Normal or n is large,FALSE,FALSE,FALSE,FALSE,0,,The p-value must be below alpha | Bar chart categories only | Data come from an SRS or randomized design and the distribution is reasonably Normal or n is large | Correlation must be positive
module_7_ci_conditions_003,module_7,ci_mean,conditions_for_intervals,4,b,Categorical success/failure data,FALSE,FALSE,FALSE,FALSE,0,,Correlation must be positive | Categorical success/failure data | Bar chart categories only | The p-value must be below alpha
module_7_ci_conditions_004,module_7,ci_mean,conditions_for_intervals,4,b,They tell us when the inference method is trustworthy,FALSE,FALSE,FALSE,FALSE,0,,The p-value must be below alpha | They tell us when the inference method is trustworthy | Bar chart categories only | Correlation must be positive
